PTJ1,PTj2,Etaj1,Etaj2,phijj,MET,metphij1,metphij2,signal
237.569,26.9888,-1.1073,0.686729,-1.74523,205.871,-3.06727,-4.8125,1
192.176,31.4235,-2.01792,-0.40478,-3.00831,185.431,3.16434,0.156022,1
245.253,203.202,0.440607,-3.13057,-0.0529389,434.173,3.17084,3.1179,1
189.867,119.769,-0.00227313,0.310755,1.75812,213.106,-3.67568,-1.91757,1
203.944,29.4286,0.495751,2.48266,1.25174,219.832,3.03764,4.28938,1
240.115,54.2709,-2.1378,1.83746,2.07571,248.325,-3.49894,-1.42323,1
131.366,85.0951,-1.5291,-1.23886,-0.907427,197.424,3.64486,2.73743,1
189.887,47.5103,1.96042,-0.0100531,3.82005,163.234,-2.9717,0.848349,1
157.975,114.869,0.600583,-1.33153,1.03396,258.455,2.76924,3.8032,1
203.472,57.6214,-2.508,-1.34974,2.76464,149.576,-3.29726,-0.532616,1
186.689,49.6254,0.583272,2.60676,-1.45766,183.461,3.39648,1.93881,1
282.768,34.1851,-0.376949,-2.08134,2.8543,281.28,-3.19571,-0.341409,1
130.358,33.4085,1.26113,-0.191525,-1.03622,154.325,-2.85729,-3.89351,1
173.443,36.2015,2.87557,0.182499,3.59568,137.072,-2.80349,0.79219,1
373.385,61.8368,-0.413144,2.03972,-4.12698,329.24,2.99858,-1.12841,1
143.256,26.2968,-2.06558,-1.972,1.02463,152.111,3.35176,4.37639,1
134.379,79.6516,3.08846,0.710723,1.61527,150.866,-3.62425,-2.00898,1
280.627,27.1093,3.41038,-1.92842,0.222955,302.115,-3.18764,-2.96468,1
194.291,37.4148,-3.02157,-0.0201233,-1.68975,186.917,-2.89109,-4.58084,1
325.381,28.3071,1.05502,0.501085,-1.12204,315.863,3.30645,2.18441,1
199.517,55.2046,-1.33974,-4.12163,4.00707,136.519,-3.11907,0.888006,1
315.624,246.006,-2.06582,0.581774,1.16803,493.301,2.64984,3.81787,1
185.929,31.9038,-2.01722,-1.82798,4.37027,162.178,-2.9215,1.44877,1
261.988,39.0721,0.829463,2.03469,-2.06379,243.914,3.32081,1.25702,1
248.555,28.7958,-0.592449,-0.816516,-0.796171,303.982,3.2182,2.42203,1
149.086,26.6487,-1.23715,-0.192483,-0.731683,170.818,-3.14088,-3.87257,1
245.493,111.641,-1.74193,-2.00841,-3.70213,164.518,2.72444,-0.977688,1
251.391,42.5975,-0.223248,0.630105,4.89681,254.293,-2.9492,1.94761,1
150.668,102.659,-0.376588,3.08922,2.04012,175.661,-3.75446,-1.71434,1
211.163,41.1918,0.545592,1.10259,-0.372977,232.756,-3.02822,-3.4012,1
223.28,33.8755,2.44159,-0.978242,-4.44076,223.283,2.99525,-1.44551,1
196.96,33.2102,1.73817,3.89053,0.368142,237.041,-3.23617,-2.86803,1
191.872,96.7338,-3.68666,3.21155,0.852434,272.756,2.9109,3.76333,1
329.926,41.297,0.814407,-1.97153,-2.05537,334.209,-2.99796,-5.05334,1
141.723,49.3424,1.30551,-2.3906,-1.26569,160.431,-2.74105,-4.00673,1
149.453,95.2663,-1.45007,-0.616004,-0.952286,228.07,3.49123,2.53895,1
140.378,59.7215,-1.25821,-2.86952,0.938635,177.697,2.90595,3.84459,1
181.022,55.2754,-1.97816,-3.36096,0.271761,213.78,-3.25128,-2.97952,1
130.675,34.8399,1.63935,-1.18212,-0.37025,168.436,3.25996,2.88971,1
174.051,33.453,-2.80376,-2.47281,2.86255,141.434,-3.32221,-0.459659,1
149.831,27.1101,-1.06268,1.22551,-4.54164,159.228,2.80429,-1.73735,1
219.6,48.9672,0.767647,0.0678989,0.245826,204.52,3.07865,3.32448,1
223.792,35.122,-0.175925,0.757263,-0.614072,254.109,3.2199,2.60583,1
218.324,34.9211,-0.69565,-2.36566,1.12478,242.767,-3.32357,-2.1988,1
297.175,50.2706,0.621184,0.194454,3.45209,264.162,-3.07054,0.381547,1
424.33,31.6027,0.815171,0.168285,1.63329,418.399,-3.25708,-1.62379,1
237.41,176.574,2.44239,-0.0593368,0.458554,387.543,2.944,3.40255,1
310.098,45.858,0.601752,1.07616,3.13312,294.219,-3.08296,0.0501616,1
185.577,48.1367,-1.5384,-0.29806,2.17193,183.742,-3.34974,-1.17781,1
242.283,47.9447,2.11066,-0.0838835,2.30183,191.547,-3.30974,-1.00792,1
241.537,25.1804,-0.667862,0.160481,-3.87465,241.49,3.0798,-0.794854,1
177.815,61.704,2.4833,1.60884,1.94504,160.164,-3.44401,-1.49897,1
150.929,29.1904,-0.246466,1.17235,0.188145,176.656,3.20714,3.39529,1
164.208,26.8669,-1.85532,-3.69486,4.41781,164.022,-2.96451,1.4533,1
150.212,31.8513,0.143111,-1.1611,0.363273,149.792,-3.25408,-2.8908,1
181.805,32.4338,-2.90165,-0.470665,3.28079,155.904,-3.06119,0.219603,1
158.41,27.0792,-1.24932,3.16335,3.67839,142.864,-2.90238,0.776002,1
134.227,50.3803,-0.238964,2.48755,-1.43784,142.8,-2.86404,-4.30188,1
490.995,371.38,-0.37225,2.35429,4.89049,648.021,-2.61747,2.27303,1
312.912,33.9141,-1.13831,-1.64541,-0.662051,333.797,3.22747,2.56542,1
203.955,86.0566,1.96153,2.45263,-0.420392,283.59,3.33645,2.91606,1
151.098,27.7543,0.974331,2.28186,-0.623491,191.652,3.18868,2.56519,1
188.44,29.9091,-0.79429,0.484447,0.793987,202.307,-3.2776,-2.48361,1
273.081,26.8381,1.88663,1.32208,4.87703,273.385,-3.02656,1.85047,1
154.258,65.3805,-0.573258,-1.57106,0.4128,181.037,-3.21157,-2.79877,1
183.767,26.237,0.961595,-2.04643,2.8029,159.67,3.06862,5.87152,1
139.83,94.8616,-2.66052,-2.79915,-1.98005,146.421,3.8801,1.90004,1
162.711,49.1474,0.491985,0.163932,-0.707942,170.915,-2.8903,-3.59824,1
379.918,37.4001,1.37005,0.890014,3.2679,310.557,-3.15744,0.110459,1
185.018,101.899,-2.82809,-1.50753,-0.836368,257.344,3.37217,2.5358,1
333.596,40.493,1.86894,2.14237,-1.99055,298.849,3.27017,1.27962,1
172.856,31.3188,-1.0075,-2.61104,-2.51418,145.29,-2.9939,-5.50808,1
170.272,26.951,-0.333399,1.09248,-5.43598,169.151,2.88132,-2.55466,1
182.755,34.5086,1.70497,0.777555,4.55248,182.659,-3.07419,1.47828,1
164.177,92.7343,0.680532,0.317531,-1.10392,218.37,3.52826,2.42434,1
175.702,82.4632,-2.87229,-1.92777,-0.591798,241.459,3.34165,2.74985,1
222.124,80.4917,-0.0203555,-3.49305,0.106215,276.144,-3.07056,-2.96434,1
198.278,35.749,-0.28049,3.50726,3.07398,156.715,-3.15385,-0.079873,1
156.783,31.2429,0.776325,-0.0435077,-0.153832,176.272,-3.16537,-3.3192,1
