PTJ1,PTj2,Etaj1,Etaj2,phijj,MET,metphij1,metphij2,signal
191.377,34.7589,-0.375668,0.110748,-1.60343,177.581,3.33527,1.73184,0
156.878,69.2023,1.46901,-1.35015,-0.848804,217.208,3.42195,2.57314,0
225.984,26.5,3.32377,2.43471,-0.744862,215.475,-3.13898,-3.88385,0
269.503,36.5448,-0.00807772,-1.03753,-5.05757,293.557,3.04176,-2.01581,0
160.843,37.7157,-0.135298,1.72934,0.654084,199.176,3.08009,3.73417,0
249.47,48.3465,1.62267,0.282834,-1.72414,278.317,3.34627,1.62213,0
148.172,108.685,2.01407,1.04483,-5.1725,225.66,2.65132,-2.52118,0
321.585,164.669,0.460844,-0.499846,-3.40351,150.474,2.9616,-0.441906,0
200.279,83.0076,-0.112915,-1.4077,3.81601,151.254,-2.82872,0.987297,0
135.112,31.37,-0.370553,0.829732,-2.45604,131.973,3.63415,1.17811,0
170.29,39.2559,-1.78909,-2.14904,-2.31362,149.985,3.25333,0.93971,0
151.797,75.0899,-0.0618364,-0.9158,1.90562,142.311,2.73623,4.64185,0
138.989,57.7688,1.92927,2.41819,-1.82403,134.787,3.39569,1.57165,0
239.224,33.4575,0.327776,1.83797,-3.66866,183.526,3.18886,-0.479797,0
200.31,71.6255,-1.20001,-0.364962,1.69358,199.821,-3.46699,-1.77341,0
162.765,67.2752,2.00663,-3.38118,1.89048,160.643,-3.55002,-1.65954,0
156.301,37.2273,1.46735,2.64228,0.616817,182.464,2.99936,3.61618,0
133.892,126.388,-0.956212,0.031759,0.44373,254.143,2.91896,3.36269,0
156.377,37.2694,-2.00488,-0.711012,0.233529,167.04,3.1781,3.41163,0
183.131,27.3524,-0.0749726,-0.375271,2.30026,159.995,-3.35366,-1.0534,0
199.52,57.2664,1.0559,-0.935954,0.432543,264.669,-3.26,-2.82746,0
251.304,55.7009,2.12027,-1.24186,4.35497,235.204,-2.91671,1.43827,0
161.377,119.048,-0.0751548,2.50281,-0.858658,249.762,3.49671,2.63806,0
212.924,59.6734,-2.10457,-0.425669,3.55665,162.245,-3.01288,0.543773,0
172.078,30.6486,-1.80793,2.68398,-0.720953,182.503,3.34784,2.62689,0
268.56,48.3477,-1.9619,0.784234,-2.07839,249.76,3.34018,1.26179,0
324.906,57.9925,0.337745,1.82982,2.30254,340.176,2.9465,5.24904,0
169.55,44.1008,1.11459,-1.16727,-3.04267,131.317,3.20966,0.166989,0
281.059,209.284,-2.33066,2.05472,-2.28678,183.317,-2.28627,-4.57305,0
218.311,29.9072,-0.758994,3.94057,3.97918,187.889,-3.05951,0.91967,0
192.379,27.6582,-1.07958,2.4572,0.877258,183.241,-3.22856,-2.35131,0
160.768,27.0691,1.91381,2.60233,1.34405,140.118,-3.48706,-2.14302,0
159.787,53.4777,-1.81954,0.850134,-2.30558,138.201,-2.92651,-5.23208,0
204.937,32.9729,-1.47963,0.764391,-1.89347,210.118,3.3534,1.45993,0
130.081,61.3203,1.37432,-0.758048,1.97711,134.888,-3.72199,-1.74488,0
237.06,72.2336,1.9785,0.776993,-2.61788,161.012,3.33911,0.721231,0
211.62,120.575,0.567312,-0.42306,2.11067,180.336,-3.64864,-1.53797,0
160.45,34.7751,-2.23049,1.31765,-0.875722,203.451,3.12068,2.24496,0
249.407,90.9884,-0.91657,0.945137,-2.49184,198.457,-2.87263,-5.36448,0
205.492,128.174,-0.378821,-0.629635,4.10826,153.268,-2.39303,1.71523,0
445.913,30.4932,1.14115,-0.477363,4.73916,433.006,-3.04529,1.69387,0
169.659,54.3804,-0.0647409,-2.47565,0.495662,202.475,-3.30113,-2.80547,0
201.52,46.0881,0.882,1.92477,-1.98777,191.762,3.29989,1.31212,0
163.084,47.6984,1.14339,3.05042,-0.0133774,213.656,3.09586,3.08248,0
144.137,104.037,-0.268836,-0.901578,5.26013,213.379,-2.72508,2.53504,0
133.286,133.181,1.13378,2.85823,1.04082,221.783,-3.73057,-2.68975,0
138.128,78.8504,-0.531496,-0.543654,-0.985147,191.388,3.50701,2.52187,0
138.402,54.4646,1.58,0.634089,0.0339115,197.993,3.10407,3.13799,0
156.625,62.0595,1.04246,-0.564536,-1.1076,183.165,3.47278,2.36518,0
153.892,112.847,0.0559686,1.50799,1.16306,224.502,2.63455,3.79761,0
164.876,30.1674,-0.482386,-3.02842,-4.55675,142.501,2.90041,-1.65633,0
142.27,97.8365,2.0177,2.04781,-1.66122,163.744,3.75623,2.09501,0
375.569,50.6773,2.43707,-2.24559,4.03609,344.848,-3.01887,1.01721,0
211.867,25.2554,-1.28253,0.17983,-0.504982,228.204,3.10079,2.59581,0
206.788,38.2136,0.39833,1.74927,2.85937,159.099,-3.23377,-0.374406,0
152.635,32.0726,-1.83429,3.13728,1.47361,163.998,2.84807,4.32169,0
371.827,72.4057,0.641246,-0.366985,0.524838,418.504,3.00316,3.528,0
134.808,106.668,-1.66931,2.2625,1.05342,203.773,-3.75051,-2.69709,0
146.298,27.1238,1.04727,2.11146,-0.197049,145.859,-3.10646,-3.30351,0
138.726,35.3227,0.103776,-1.82888,3.99029,132.853,-2.78645,1.20383,0
143.043,140.351,-1.14835,-0.814233,-1.26886,195.571,3.79109,2.52223,0
327.072,42.4914,0.0181394,1.30262,-1.61261,319.585,3.25299,1.64037,0
164.413,26.5544,2.40242,3.89784,-0.637501,154.496,-2.99846,-3.63596,0
137.994,31.6747,-0.641433,1.98156,-1.96507,134.821,3.48539,1.52032,0
141.932,29.5936,1.85302,2.33035,-1.8183,168.375,3.08096,1.26266,0
152.002,56.2114,2.2965,-2.89384,0.84252,177.173,-3.48724,-2.64472,0
235.701,89.887,-1.23896,-2.37285,-1.12092,279.63,3.41362,2.29269,0
213.348,96.455,0.652224,0.337864,-0.533175,280.271,-2.92677,-3.45995,0
268.414,30.7277,-2.3413,-3.21801,-1.01244,286.195,3.23174,2.2193,0
310.242,31.0045,0.838111,-0.24216,0.697948,329.477,-3.13504,-2.43709,0
174.562,64.9345,1.76246,1.00947,3.93888,136.62,-2.64664,1.29225,0
211.084,119.784,-1.32678,-0.259128,3.74314,136.379,-2.6034,1.13974,0
200.964,61.6503,0.905957,-2.55012,-0.343687,263.857,3.35503,3.01135,0
259.443,78.1064,-1.8193,0.366182,2.99398,197.708,-3.2311,-0.237113,0
132.347,50.5339,1.9258,1.37248,-1.13128,170.893,3.54893,2.41765,0
222.89,26.9134,-0.255565,-0.786292,-2.86021,195.029,-3.1054,-5.96561,0
240.676,29.23,1.46197,-2.00867,-4.07341,232.908,2.96496,-1.10845,0
235.212,138.571,-2.39189,-1.74311,-2.73332,132.703,3.55079,0.817473,0
193.15,159.42,-1.95562,-1.65553,-1.95894,189.359,3.94134,1.98239,0
205.032,26.3508,-2.10457,-0.600041,1.52691,196.595,-3.11293,-1.58602,0
157.405,63.3103,-1.66833,0.976679,0.139496,215.093,3.11748,3.25697,0
147.227,29.7681,0.788657,-0.82177,-2.15193,138.268,3.1741,1.02217,0
201.793,31.5246,-0.935425,1.1555,-3.86568,175.315,2.85832,-1.00735,0
289.027,88.6157,-0.567689,1.40214,-2.58087,214.152,3.27317,0.692299,0
265.977,32.7297,-0.136846,0.114514,0.729898,307.28,-3.25409,-2.5242,0
344.713,65.0439,0.669628,1.90872,3.91548,304.476,-2.98721,0.928269,0
138.629,61.6978,-0.173687,1.30211,-1.9603,157.133,3.2602,1.2999,0
290.287,33.7596,-0.457969,-1.63988,2.90731,253.053,-3.18185,-0.274542,0
237.646,59.7355,2.32394,2.32017,4.97377,259.38,-2.94219,2.03158,0
146.382,31.9233,2.36988,1.76826,4.41153,147.145,-2.92121,1.49033,0
173.134,47.0416,-0.866762,0.522021,1.88075,146.646,2.90772,4.78848,0
222.784,39.9923,-0.747869,2.55798,0.47517,245.894,3.11488,3.59005,0
198.488,64.0561,0.775786,3.61452,-2.25915,157.304,3.45822,1.19907,0
143.672,27.7076,2.15618,1.41655,-0.174566,176.052,3.11186,2.93729,0
450.899,251.423,2.04718,2.0385,3.03074,203.638,-3.24646,-0.215712,0
242.918,108.256,-1.88332,0.59377,1.0839,297.613,-3.41302,-2.32912,0
191.516,33.5797,1.47654,3.64108,-2.05474,178.55,-3.02146,-5.0762,0
199.984,70.7546,0.0782496,3.6053,-3.82499,164.433,2.82628,-0.998714,0
184.684,34.1729,2.82193,-2.1238,1.47418,184.668,2.99098,4.46516,0
144.673,41.2334,-0.451821,1.38859,0.505098,184.085,-3.24477,-2.73967,0
206.953,83.553,-2.44151,-2.41649,2.62449,138.391,-3.57907,-0.954581,0
133.888,43.769,1.21349,2.47518,-0.244956,167.984,-3.05537,-3.30033,0
196.866,47.3538,1.86043,0.992997,0.776275,210.626,-3.23545,-2.45918,0
190.324,60.7358,0.448549,2.19068,1.90341,177.693,-3.39614,-1.49272,0
396.023,119.474,1.00205,4.04469,-2.61376,295.743,3.30417,0.690401,0
246.432,36.6266,-1.05617,3.43846,0.745343,252.174,2.99466,3.74,0
349.495,28.5611,-0.303881,-1.9146,-1.90709,337.423,3.21275,1.30566,0
152.241,75.8106,-0.750374,1.93343,1.11251,171.351,2.71849,3.831,0
136.591,26.9959,0.0834018,0.0814165,-4.18871,144.241,3.2787,-0.910016,0
132.534,28.0554,0.671862,1.25251,-0.794356,148.115,-2.98557,-3.77993,0
136.335,49.661,-1.36615,-0.337204,-1.7773,135.333,3.68417,1.90687,0
198.671,87.4991,1.51184,0.275817,1.90971,183.312,-3.68874,-1.77903,0
332.875,28.8163,-2.04569,-1.5976,-0.593733,343.331,3.20324,2.6095,0
170.937,35.593,1.94756,-3.67679,-4.19992,142.068,2.99572,-1.20419,0
223.485,26.5821,1.15114,1.56358,-0.707253,227.308,-3.00192,-3.70918,0
168.622,88.0791,2.26681,1.93808,-4.18139,158.855,2.49597,-1.68542,0
161.613,29.216,2.13322,4.172,-2.34915,151.343,3.296,0.946845,0
167.678,26.7643,-1.61374,-1.66401,2.11952,169.521,2.97807,5.09759,0
162.049,117.005,-2.06307,-0.251054,-1.9637,131.281,-2.57829,-4.54199,0
169.51,91.8306,0.511529,0.749371,0.643748,256.973,-3.28063,-2.63688,0
213.999,78.1324,-0.611769,-0.741658,0.749565,271.26,-3.41808,-2.66852,0
189.691,39.9368,0.058471,-0.480352,-5.70469,220.702,2.91838,-2.78631,0
254.095,52.8235,1.58684,4.52894,2.43035,212.109,-3.36947,-0.939129,0
173.733,69.3182,-0.586408,-1.63828,-3.90868,154.569,2.91063,-0.998047,0
187.33,25.3302,1.52115,-3.11707,1.68384,191.863,-3.07699,-1.39316,0
186.945,32.0371,-0.751515,-0.902793,0.841372,196.803,-3.22757,-2.3862,0
175.852,35.7345,2.44598,1.27005,-1.17197,168.081,3.28266,2.11069,0
223.406,41.1013,-0.847729,-2.26106,2.36101,195.334,3.11256,5.47357,0
212.638,26.375,-1.19694,-4.35068,1.62631,218.04,-3.22204,-1.59573,0
242.533,98.7587,-0.164688,-2.76513,1.45255,286.689,-3.57452,-2.12197,0
250.966,68.5431,-1.49582,2.05688,1.93119,242.693,2.87278,4.80397,0
132.239,79.3944,-1.40459,-1.39273,0.769086,200.299,-3.38254,-2.61345,0
184.844,175.201,-0.611907,2.6699,4.7477,265.383,-2.48154,2.26616,0
152.219,41.9995,-1.68386,-0.893344,-6.07538,181.988,3.04135,-3.03403,0
184.295,112.382,1.78453,0.50551,2.08817,156.209,-3.82895,-1.74078,0
176.529,29.7127,-2.07253,0.176801,-4.48463,150.025,2.89408,-1.59055,0
