PTJ1,PTj2,Etaj1,Etaj2,phijj,MET,metphij1,metphij2,signal
132.14,76.7358,2.16006,1.94759,-0.742922,210.454,3.39502,2.6521,1
212.736,35.2373,1.17005,1.57397,0.745388,222.593,3.02205,3.76744,1
286.091,34.6463,2.60948,3.51549,3.61185,277.098,-3.1121,0.499748,1
350.376,38.2641,-1.05899,1.05803,-4.92948,389.303,3.00565,-1.92384,1
380.375,94.9408,-0.134022,-1.00662,-0.301685,442.967,3.22645,2.92476,1
346.739,65.4659,0.0205365,-1.72332,-4.67151,365.219,2.95717,-1.71434,1
315.691,87.8245,-1.86943,-2.69515,-0.248158,359.795,3.19695,2.94879,1
231.315,25.8595,-1.36702,-0.38704,-1.43835,254.363,-2.99734,-4.4357,1
433.052,58.8339,-1.7354,0.661788,-2.12768,392.574,3.27403,1.14635,1
460.269,285.119,1.53069,1.04708,-2.2031,341.524,-2.46511,-4.66821,1
176.804,89.1197,-0.455148,0.441872,-0.621714,246.402,3.36266,2.74095,1
219.409,25.7314,0.284928,2.20472,-3.39294,181.231,3.15971,-0.233229,1
794.239,29.596,0.867063,-3.83446,0.9251,796.683,3.09648,4.02158,1
168.64,149.835,-0.456351,0.0009364,-0.963519,251.959,3.59646,2.63294,1
653.124,122.442,0.694346,1.39002,0.408223,738.007,-3.22225,-2.81402,1
188.821,25.8887,-1.14191,2.62022,0.0445896,209.187,3.11185,3.15644,1
495.767,51.0303,-2.15714,0.306667,1.1948,517.068,-3.21611,-2.02132,1
163.278,68.4727,0.0535468,-1.63172,-0.490263,215.889,-3.0852,-3.57546,1
388.669,85.9587,0.101068,2.30254,-3.55426,311.436,3.00352,-0.550744,1
261.93,46.9168,-0.467862,-1.52097,-0.084693,304.188,3.1227,3.03801,1
151.975,36.387,-0.208919,-1.03064,0.842453,164.582,2.99933,3.84178,1
161.965,35.541,1.48411,3.05545,0.103896,204.472,-3.05916,-2.95527,1
146.266,36.2384,1.55753,-1.78231,0.724686,181.055,3.02501,3.7497,1
167.579,45.1939,1.91786,1.92955,-0.706834,205.006,3.30712,2.60028,1
193.249,80.482,-0.148836,-1.13591,-0.455825,259.682,-2.99206,-3.44788,1
241.376,26.7161,-0.501084,-0.353952,-3.70468,206.928,3.11374,-0.590934,1
154.88,35.2715,-0.779748,-1.35684,0.471995,179.349,3.09652,3.56851,1
148.236,91.9576,1.77027,1.15083,-6.15203,234.832,3.15067,-3.00136,1
175.533,25.3821,1.30584,2.22442,-2.10405,151.74,3.02634,0.922292,1
166.195,47.3753,-1.24665,1.0012,1.56683,165.705,-3.47671,-1.90988,1
169.596,25.4811,-1.21333,-3.89415,4.64497,188.529,-3.10436,1.54061,1
133.377,68.8076,0.583098,-1.83931,-1.58496,155.482,3.61114,2.02618,1
135.312,46.9559,1.71513,1.9928,-0.830644,159.12,-2.84692,-3.67757,1
507.418,240.087,-2.43931,-1.68309,-2.3001,380.89,3.68862,1.38853,1
173.665,56.3193,-1.04094,-2.36581,-0.274625,237.97,-3.15369,-3.42832,1
131.08,57.8451,-1.70632,-1.61451,1.31706,149.108,-3.50843,-2.19137,1
357.102,279.344,-0.753598,-0.866575,-1.50619,475.798,3.7969,2.29071,1
308.157,25.9926,-1.30718,-4.03595,4.37906,312.935,-3.11302,1.26604,1
208.515,175.709,-0.624127,0.241227,0.726639,360.252,-3.46191,-2.73528,1
181.345,88.5895,-0.0641166,-0.650915,0.789157,234.136,-3.39182,-2.60266,1
232.946,26.297,-1.45347,-1.90821,-2.74366,206.086,3.2447,0.50104,1
571.596,80.4452,0.651668,-3.05663,-3.3936,466.941,3.03766,-0.355945,1
151.513,32.7269,-1.34408,-0.690826,-1.25254,155.951,3.24349,1.99094,1
350.848,56.492,-0.746904,-0.101272,2.05086,311.077,-3.28128,-1.23042,1
488.821,202.728,1.68375,-2.04733,3.5771,292.665,-2.95041,0.626694,1
389.551,28.2529,-1.66764,-1.30713,2.72867,360.358,-3.19032,-0.461655,1
178.645,99.6001,0.146167,-1.45562,-1.23755,213.436,3.54847,2.31092,1
341.426,61.0441,-0.188702,2.89223,-2.18777,321.262,3.15325,0.965476,1
159.385,52.3729,-1.8625,0.889309,-5.3458,181.402,2.84531,-2.5005,1
