PTJ1,PTj2,Etaj1,Etaj2,phijj,MET,metphij1,metphij2,signal
806.072,104.74,-0.356008,-3.45887,1.08223,856.616,3.01599,4.09822,1
264.66,58.5575,-1.22233,-2.40473,-0.525222,312.044,3.19419,2.66897,1
296.823,36.25,0.550244,1.3935,1.67337,300.029,-3.32278,-1.64941,1
179.995,29.252,-2.21491,-3.03866,-0.143574,188.641,3.15566,3.01208,1
276.413,214.502,-0.198701,2.73044,-0.0850191,506.888,3.20934,3.12432,1
283.061,41.9208,-0.226779,4.4165,-0.595612,310.786,3.24615,2.65054,1
152.919,71.4086,1.52635,-1.15368,4.13287,134.452,-2.84896,1.28392,1
265.49,56.9581,0.478054,-0.251627,-2.85537,229.599,-2.89037,-5.74575,1
131.001,26.4922,-1.09708,4.08472,3.96723,136.207,-3.11008,0.857153,1
136.859,89.1262,1.00855,1.11473,0.915299,208.489,-3.43852,-2.52322,1
180.483,75.3438,0.201846,-0.198528,4.16343,149.161,-2.69108,1.47235,1
200.564,36.9612,-0.867521,1.23789,-1.42553,208.236,3.17031,1.74478,1
181.024,28.3815,0.0787169,1.67581,0.781207,204.605,-3.37348,-2.59227,1
262.203,47.899,-0.302991,-0.397247,1.4369,266.266,-3.27671,-1.83981,1
412.06,26.8744,0.210179,-2.61811,-1.52339,397.381,3.21978,1.69639,1
395.344,129.826,-0.561927,-1.82133,4.254,357.565,-2.81428,1.43972,1
244.657,136.413,0.942162,-0.257975,0.628428,358.802,2.91751,3.54593,1
230.494,94.3981,-3.04585,-2.28046,-1.39509,247.474,-2.70144,-4.09653,1
254.233,180.142,0.862795,-1.83702,-3.69824,146.379,2.38883,-1.30941,1
466.217,99.3313,1.25075,1.78404,1.71951,455.516,-3.28275,-1.56324,1
259.307,185.895,-0.598053,-3.27708,0.866208,429.304,-3.50011,-2.6339,1
201.702,49.9899,-0.85641,2.5273,1.93977,177.847,-3.30239,-1.36262,1
274.232,194.882,1.635,0.220563,-2.03638,224.006,-2.36981,-4.40619,1
189.802,69.452,1.13857,0.719578,-1.65281,210.808,-2.76097,-4.41378,1
339.424,29.5165,0.645946,-3.0021,1.02401,360.238,-3.24554,-2.22153,1
180.657,60.6025,-0.457364,-2.47599,-1.77187,183.447,-2.78911,-4.56097,1
261.518,44.4952,0.095221,0.0946086,-0.693427,291.698,3.23217,2.53875,1
317.63,75.6899,-1.51137,1.81366,-0.932613,374.665,-2.86036,-3.79297,1
359.397,117.655,0.532939,2.73154,2.02218,343.731,-3.54094,-1.51876,1
138.371,31.2981,-1.62804,-4.69104,-0.288356,170.557,3.22568,2.93732,1
156.26,37.2081,-0.639695,-2.8734,-0.98774,187.965,-2.90254,-3.89028,1
174.732,53.5221,-0.461419,2.54249,4.39337,183.66,-2.89634,1.49703,1
323.287,76.6732,-0.938306,-0.418668,0.671219,386.383,-3.23956,-2.56834,1
242.166,30.7139,1.40345,0.37215,-0.951957,263.66,3.17108,2.21912,1
261.812,32.5506,1.34871,2.82383,1.19455,263.315,3.06717,4.26172,1
257.171,53.3309,-0.96493,-0.137736,-0.297304,296.172,3.21634,2.91903,1
263.912,33.4054,1.66079,-1.22458,0.717259,270.713,3.13037,3.84763,1
438.339,36.1324,-2.1053,-0.597964,-3.79959,406.047,3.07412,-0.725464,1
272.531,28.5544,-1.25545,-0.995816,3.99527,264.197,-2.9918,1.00348,1
135.002,31.1602,0.661542,-1.56946,0.317234,155.368,-3.19943,-2.88219,1
208.121,31.2685,-1.35889,0.835367,1.12521,222.287,-3.25052,-2.12532,1
146.579,29.5977,0.954077,3.06986,1.51891,143.781,-3.39532,-1.87641,1
142.512,38.9222,0.914404,1.08822,1.31564,149.272,2.88799,4.20363,1
316.818,40.7709,0.668225,-0.582204,3.10417,263.778,-3.14962,-0.0454532,1
179.736,146.606,0.181411,-1.21765,-0.188653,309.159,-2.97378,-3.16244,1
191.764,38.2253,-1.55683,-4.35002,3.04313,147.236,-3.13603,-0.092894,1
253.576,42.7386,-2.48444,0.282428,-0.315643,289.397,3.14285,2.82721,1
205.845,44.0295,-0.534305,2.29029,1.23391,217.399,2.98742,4.22133,1
349.133,25.7588,-0.746246,-1.12185,2.17674,338.16,-3.23075,-1.05402,1
176.462,27.4546,-0.820471,1.79723,1.66095,142.261,-3.4856,-1.82465,1
403.77,44.0348,-0.496479,0.214766,1.5116,406.165,-3.19492,-1.68332,1
470.482,36.533,-0.972167,1.485,-5.6574,523.85,3.08506,-2.57234,1
325.752,27.759,-1.60854,0.0551619,1.31891,315.379,-3.22418,-1.90527,1
147.672,40.2268,0.346606,-3.26822,5.77853,173.768,-3.04803,2.7305,1
218.273,37.2971,-0.652887,3.17262,3.45902,185.502,-3.10165,0.357366,1
175.005,26.5445,-0.0326993,-0.964433,-0.917607,192.913,-2.94422,-3.86183,1
149.421,27.2791,1.47103,0.582093,-3.68539,133.801,3.01658,-0.668811,1
262.517,93.7001,-1.87519,0.0114279,0.244435,350.726,3.03557,3.28,1
172.228,36.0931,1.11781,2.81648,-1.72902,174.198,3.2386,1.50958,1
162.195,28.3655,-0.242397,0.934298,1.0142,181.946,3.06049,4.07469,1
406.872,128.305,0.736112,1.27195,-2.11429,338.795,-2.7637,-4.87799,1
355.995,33.3242,-1.73645,0.574879,-0.340085,364.833,-3.09539,-3.43548,1
328.981,26.767,1.02464,2.43263,-2.2503,331.266,3.26043,1.01013,1
192.346,56.5952,-0.307743,0.404415,0.644978,240.713,-3.44498,-2.8,1
152.528,29.5847,-2.15744,-3.81203,-0.0124807,166.488,3.13226,3.11978,1
216.341,39.5008,-0.367151,2.78561,-5.51898,251.153,3.0583,-2.46068,1
137.117,119.868,-2.25547,1.54861,-2.0788,131.701,4.04951,1.97072,1
486.336,211.279,-0.417978,2.87272,2.41868,365.024,2.71564,5.13432,1
256.353,43.1894,-0.689208,-2.57273,-0.0483599,296.427,-3.08697,-3.13532,1
491.669,44.4115,0.715516,1.27812,-0.720894,513.348,3.23284,2.51194,1
146.654,39.2937,2.33722,-1.33948,-0.548473,177.529,-3.07963,-3.6281,1
172.544,70.6951,-0.540599,-2.92246,-4.40463,174.154,2.69645,-1.70818,1
225.916,41.0994,1.34281,1.09026,1.87964,223.66,-3.26553,-1.38589,1
342.494,78.3983,-0.639264,-1.33323,4.14567,309.808,-2.90467,1.241,1
158.516,25.7168,0.760702,-0.768415,0.439006,180.717,3.04845,3.48746,1
255.55,81.5902,-1.55646,0.103082,-1.191,332.888,-2.92687,-4.11787,1
134.326,49.976,-0.450598,-0.484339,0.981643,174.345,2.83703,3.81868,1
207.812,83.5297,1.46936,-0.58841,-1.02945,268.801,-2.92211,-3.95155,1
265.207,29.79,0.974738,1.35346,-3.0924,253.545,3.22389,0.131494,1
341.367,83.8834,-2.08331,-1.4806,4.5033,314.903,-2.89918,1.60412,1
201.654,39.6036,-2.12617,2.48586,2.19099,178.142,-3.18228,-0.991298,1
143.333,28.2281,1.81707,2.56738,0.562472,155.602,-3.24743,-2.68496,1
203.372,82.1391,1.06886,2.30679,4.72874,225.14,-2.77524,1.9535,1
347.807,25.3775,-0.51571,-2.01913,-0.52793,366.46,-3.19456,-3.72249,1
256.725,38.1231,0.686844,-1.06607,-1.80841,243.185,3.24379,1.43538,1
155.834,47.3364,0.536848,3.71564,1.73412,168.318,-3.42184,-1.68772,1
133.093,49.1653,-0.552474,0.701686,1.22312,144.468,-3.43263,-2.20951,1
386.86,29.9729,1.16183,-2.08494,2.76116,385.426,-3.15565,-0.394486,1
185.618,33.7573,1.67197,-2.20346,1.99691,144.804,2.95363,4.95055,1
171.864,130.327,1.52363,-1.54646,-0.237514,287.572,3.38578,3.14826,1
176.728,58.6482,-1.18995,-0.763921,-3.80037,147.087,2.88213,-0.918236,1
224.731,89.7357,0.107428,0.746501,0.779981,287.136,2.93029,3.71028,1
157.686,39.469,-0.370044,-1.67782,1.38431,193.784,2.87016,4.25447,1
343.378,65.9584,0.334693,-3.25599,-0.828822,363.94,3.29968,2.47086,1
290.85,33.7332,0.215568,-1.39906,-3.11842,251.192,3.16145,0.0430315,1
258.815,27.3569,-1.40496,-3.11501,3.42917,226.376,-3.15415,0.275027,1
173.212,32.8656,-1.666,-2.79368,2.40227,165.671,-3.3143,-0.912028,1
248.465,86.1472,0.062034,-1.19081,1.59324,260.265,2.74747,4.34071,1
156.126,38.9839,0.62942,1.91819,-1.25754,172.595,3.37325,2.11571,1
211.7,50.8173,0.352888,2.8247,1.97282,189.637,3.00324,4.97606,1
192.062,70.789,0.346743,-0.0957932,1.64156,185.106,-3.47381,-1.83225,1
150.403,73.6288,1.84113,3.00242,0.209915,222.791,3.09304,3.30296,1
184.719,51.4696,1.97629,2.64444,-0.24223,198.014,-3.18095,-3.42318,1
185.389,34.7563,0.150649,-1.61123,3.60174,167.773,-3.12353,0.478208,1
169.645,37.8818,0.987202,-0.954135,2.84806,137.277,-3.29418,-0.446115,1
256.347,89.0067,1.11566,2.56114,-0.734619,312.239,3.32382,2.5892,1
399.352,73.9381,-0.661163,-0.338672,-2.96627,290.294,3.11209,0.145815,1
189.191,27.3396,-0.47837,4.35164,-0.911837,187.15,-3.1188,-4.03064,1
308.229,32.5972,-1.4837,-2.59419,-4.00638,280.169,3.13531,-0.871066,1
312.088,42.7309,-1.8928,0.834902,3.82868,291.859,-3.12456,0.704122,1
259.177,157.864,-0.968605,2.27993,-0.0724002,430.406,3.17912,3.10672,1
235.826,32.028,-1.14548,-0.738847,0.756373,240.106,3.06592,3.82229,1
134.196,49.4938,0.518923,1.39086,5.25101,145.568,-2.85244,2.39857,1
136.043,54.9987,-0.36456,-0.472876,1.09626,159.122,2.85324,3.9495,1
148.185,97.2535,1.45624,1.35384,1.53426,177.842,-3.71972,-2.18546,1
373.995,30.5795,1.31667,1.70672,0.563997,396.496,3.10371,3.66771,1
234.257,75.0023,0.341364,-1.51145,4.74686,253.083,-2.87858,1.86827,1
434.032,63.4215,0.105139,-4.41897,-2.99399,365.124,3.16836,0.174366,1
312.065,184.451,0.242053,-0.941539,0.716416,439.185,2.90733,3.62375,1
168.068,42.8667,-0.129657,2.70147,-0.138685,212.4,3.15942,3.02074,1
461.187,55.6513,-0.14527,0.545982,3.49918,401.867,-3.09821,0.400969,1
161.602,64.0946,-1.02104,-3.33,-4.97132,200.595,2.78848,-2.18284,1
191.737,77.5302,-0.928526,2.91813,1.80285,178.231,-3.47579,-1.67294,1
257.2,38.0804,-0.684043,2.4466,-0.125643,277.72,3.16231,3.03667,1
341.546,38.3162,-0.337154,3.68231,-1.29156,342.943,-3.05904,-4.3506,1
215.374,147.082,0.470555,-1.63775,0.397756,363.631,-3.34147,-2.94372,1
162.552,26.0149,0.32479,4.4736,3.45766,134.757,-3.1666,0.29106,1
587.237,42.1057,1.129,-0.234455,-1.29997,604.511,3.21183,1.91186,1
378.294,142.853,1.88046,0.330981,4.07733,333.257,-2.73909,1.33823,1
271.717,26.4684,-0.426223,-3.40976,-1.60221,260.447,3.23398,1.63177,1
297.035,36.3625,-0.378962,-0.990438,-0.170691,321.432,3.08414,2.91345,1
134.706,62.9427,0.858238,1.86219,-0.528162,157.256,-3.32883,-3.85699,1
413.707,74.7971,-0.511579,1.38008,4.50004,406.669,-3.00255,1.49749,1
330.73,244.784,-0.185909,0.779392,-1.57357,400.222,3.82666,2.25309,1
226.282,47.0342,-0.565301,1.97159,-2.01032,191.359,3.29408,1.28376,1
134.194,50.7579,-1.15341,-2.35994,1.33979,153.068,2.92085,4.26064,1
144.275,49.6885,0.886637,2.4161,-5.65115,204.463,2.96561,-2.68554,1
296.163,34.6441,0.0282926,-1.44374,-5.17925,318.012,3.01396,-2.16529,1
231.121,54.7878,-1.17206,1.64866,2.42645,177.002,-3.27438,-0.847928,1
685.051,64.5756,0.736707,-2.05784,0.766579,730.407,3.10505,3.87163,1
236.877,67.4689,0.40129,-2.68968,-0.897883,273.773,3.37513,2.47725,1
302.745,85.133,2.5211,1.7217,-1.63894,296.986,3.42904,1.7901,1
233.093,224.725,-0.122656,-0.310317,-4.70369,335.809,2.40135,-2.30234,1
169.024,96.9331,2.59802,2.26916,-4.64841,229.447,2.61369,-2.03472,1
179.358,95.2793,0.0447424,1.9631,0.231798,267.556,3.06344,3.29524,1
375.662,30.3905,1.35648,-2.63879,-1.21291,409.005,-3.06868,-4.28159,1
154.332,29.404,-1.95774,0.205797,-1.65908,165.518,-2.8373,-4.49638,1
336.495,63.0899,-0.0814891,-1.23019,-0.816653,370.883,3.2138,2.39715,1
184.194,73.6195,2.48819,-0.275977,2.66841,131.449,-3.50236,-0.833952,1
463.242,93.526,0.781267,0.0516087,-0.501077,572.729,3.22399,2.72291,1
283.543,32.2165,-0.158622,2.93766,-4.67571,252.753,3.15001,-1.52569,1
152.557,28.8281,0.158726,-0.863837,-1.5607,149.74,-2.90003,-4.46073,1
204.349,39.9183,0.235161,2.06249,-4.38347,184.842,2.96654,-1.41693,1
188.134,68.1755,-1.93041,-1.07226,1.84784,200.072,-3.60567,-1.75783,1
393.589,77.1545,-0.838463,2.10984,-1.47658,401.468,3.26968,1.7931,1
213.039,31.9,-0.473217,-2.31168,-0.80762,244.146,3.19152,2.3839,1
307.182,47.5681,-2.29243,-0.813115,0.93767,353.722,-3.30383,-2.36616,1
169.524,38.7827,-1.22247,1.4164,5.61102,208.956,-2.99197,2.61905,1
525.462,213.316,-1.01986,-1.28865,2.38047,397.773,2.72373,5.1042,1
243.404,96.2172,-1.17636,-2.10974,-1.02286,307.244,-2.81826,-3.84112,1
183.992,35.3492,1.8992,2.14652,-5.14896,200.943,2.84263,-2.30633,1
157.414,39.9903,0.203185,-0.424065,-4.92019,138.058,2.80228,-2.11791,1
305.625,63.5647,-1.66597,3.11232,2.18503,277.036,2.95563,5.14066,1
461.126,50.9303,-0.243513,-1.18839,0.823054,506.946,3.04879,3.87184,1
221.832,42.1386,-2.22772,2.28495,1.25044,233.807,2.85146,4.1019,1
178.167,94.9177,-1.00209,-2.02511,0.0513288,272.962,3.06814,3.11947,1
463.789,73.1711,-1.45228,-2.23873,0.611488,517.674,-3.22011,-2.60862,1
362.828,35.5036,-2.63498,3.02267,-2.01934,336.895,3.24251,1.22317,1
227.962,28.222,1.19675,3.12361,-1.33038,249.783,3.23442,1.90404,1
163.765,28.6076,-0.617141,-4.15714,-1.08636,201.307,-2.96874,-4.0551,1
233.894,36.6301,-0.629191,1.39526,5.54676,259.35,-3.04976,2.497,1
161.039,33.7878,-1.24637,0.793043,1.33362,166.904,-3.36884,-2.03522,1
231.917,27.7044,-0.398746,0.689146,-2.56092,204.252,3.35226,0.791341,1
234.108,27.6184,-1.8338,1.4919,0.962726,252.871,3.06782,4.03054,1
601.623,38.7688,0.468882,2.76382,0.38761,673.39,-3.18808,-2.80047,1
138.733,38.665,0.677013,-0.805843,-0.826427,187.78,-3.08736,-3.91378,1
172.025,103.513,-1.83002,-2.03308,-1.77671,155.092,-2.55906,-4.33577,1
332.162,261.501,0.395864,0.880837,-1.35539,471.885,-2.57943,-3.93482,1
525.907,112.742,0.244646,0.0531398,2.2382,458.88,-3.3315,-1.0933,1
195.354,194.687,1.34064,1.14195,1.21055,318.27,-3.78321,-2.57266,1
154.014,117.976,2.02796,0.708002,1.88258,167.617,-3.94672,-2.06414,1
156.686,116.48,-0.778703,1.08279,0.420176,266.709,-3.25152,-2.83135,1
325.863,27.7258,-0.714184,-4.26573,-0.297291,343.702,-3.07061,-3.36791,1
152.119,100.73,-1.33974,-0.835075,4.66977,210.73,-2.45756,2.21221,1
147.707,42.1351,-1.60203,1.68668,-1.51386,184.491,3.43969,1.92583,1
440.945,25.097,-0.380291,-0.0769087,-3.02254,419.327,3.19596,0.173421,1
295.197,25.9334,1.41769,0.669612,1.04657,297.288,3.07789,4.12447,1
165.624,65.9398,-1.24961,-1.83278,0.296726,262.091,3.1345,3.43123,1
266.695,121.9,-0.19144,-2.70711,3.44149,230.691,-2.2416,1.1999,1
214.425,191.567,-0.821858,0.966203,1.30549,327.163,2.50978,3.81527,1
397.345,91.8818,2.49352,2.42418,-5.25012,455.137,2.93834,-2.31178,1
175.356,132.69,-0.566711,-2.60289,-0.0872339,289.5,3.15977,3.07253,1
250.455,45.5217,0.207251,0.30742,-2.93259,206.24,-3.0179,-5.9505,1
137.55,28.1806,1.33446,-0.819907,5.70435,154.98,-3.04325,2.6611,1
255.229,25.5379,-1.02146,1.33525,-2.58053,263.92,-3.01034,-5.59088,1
255.043,62.9154,-0.269154,1.79292,0.282806,301.659,-3.17233,-2.88952,1
134.921,66.6646,-0.026694,-0.800022,-0.712783,162.305,3.34733,2.63455,1
292.401,83.1798,2.07876,0.414259,-3.34891,217.754,3.13273,-0.216178,1
155.476,74.127,-0.0604778,0.675372,-0.636721,211.628,-3.02852,-3.66524,1
370.584,35.3321,0.208301,-1.53118,-2.65964,335.557,3.24071,0.58107,1
292.926,262.98,1.28857,-0.879924,-1.86763,369.954,-2.31035,-4.17799,1
318.653,122.025,-0.603174,0.708192,0.991642,394.598,-3.43033,-2.43869,1
148.188,68.2077,-2.15975,-2.54715,-1.72447,165.491,3.78371,2.05924,1
592.067,80.5884,0.664212,-0.586486,0.887714,643.909,-3.23735,-2.34964,1
553.757,525.259,-1.32938,-1.38724,-2.20869,500.411,-2.01921,-4.2279,1
566.588,145.917,-0.83048,1.32077,-1.16634,651.302,-2.94958,-4.11591,1
191.843,55.99,-2.21308,-2.22712,-2.46594,164.629,3.29631,0.83037,1
278.479,27.6387,0.525508,0.258936,0.709675,284.027,3.09552,3.80519,1
225.858,26.1305,-0.749173,-3.05445,-2.23125,205.769,3.23146,1.00021,1
179.986,33.1173,0.549464,0.0575368,-0.744711,199.776,3.23799,2.49328,1
212.481,44.5945,-0.478737,1.48379,1.57272,223.309,-3.35231,-1.77959,1
274.846,30.0184,1.16877,-3.93474,5.17319,278.964,-3.00141,2.17178,1
329.613,235.184,0.676481,-3.15856,-1.97091,327.971,-2.31227,-4.28318,1
289.68,145.067,-0.0688012,0.380766,0.545715,424.234,2.959,3.50471,1
248.751,114.592,0.289099,0.342009,2.15723,203.195,2.65865,4.81588,1
159.059,45.6432,-1.08222,0.8998,-4.74196,152.637,2.73571,-2.00626,1
171.84,35.8861,0.589851,-1.74185,-0.848646,198.169,3.20344,2.35479,1
441.028,26.9964,1.6705,0.291527,-0.726028,449.605,-3.11345,-3.83948,1
197.206,33.6989,0.982628,0.812013,-0.840202,187.98,-3.11424,-3.95444,1
354.658,33.7661,1.0584,1.82655,-1.47693,374.028,3.23672,1.75979,1
235.104,105.189,0.795266,-0.997098,-4.45322,242.969,2.63314,-1.82009,1
195.583,49.195,-0.0792673,-2.38431,-3.78162,155.064,3.01226,-0.769359,1
257.161,54.5397,0.531494,1.2518,0.803575,278.402,3.0683,3.87187,1
211.5,82.5825,1.7599,-0.0573341,-4.88254,236.902,2.82921,-2.05332,1
208.762,123.968,-0.319401,1.00045,3.97831,176.499,-2.56757,1.41074,1
171.97,46.8378,-1.56386,-2.42131,-3.86082,149.215,3.07326,-0.787558,1
367.97,61.4628,2.06182,-3.11473,3.41141,323.229,-3.08855,0.322853,1
130.695,36.2453,-0.289438,-3.36493,1.28093,156.921,-3.38162,-2.10069,1
178.187,86.8283,2.21884,2.56922,2.44099,134.421,2.68077,5.12175,1
178.073,26.1659,-1.39717,-0.338396,1.07382,192.596,3.00852,4.08233,1
209.029,159.409,0.500495,2.02061,-0.623466,352.566,3.31707,2.6936,1
174.884,26.4309,0.840723,0.124006,-0.194049,208.183,-3.10984,-3.30389,1
223.764,82.4526,-1.15299,0.32544,-4.83846,263.025,2.81454,-2.02391,1
361.978,99.2297,1.56404,-2.42213,-4.56407,344.112,2.93082,-1.63325,1
149.423,25.2295,0.111878,-1.12046,1.34697,161.743,3.05714,4.40411,1
143.613,27.6121,-1.65655,-2.78599,-0.357191,143.15,3.25883,2.90164,1
387.313,198.548,1.65855,-0.710236,-0.0758467,580.818,3.15788,3.08204,1
164.565,158.986,0.125597,0.0546696,-1.0331,277.228,3.67214,2.63903,1
185.223,132.517,-0.70387,-2.08409,-0.175628,311.212,3.10855,2.93292,1
155.957,71.9015,-1.33741,1.63028,-1.8052,170.43,-2.66132,-4.46651,1
240.231,28.4721,2.35389,1.16137,-0.373665,271.099,-3.11355,-3.48722,1
132.335,76.0826,-1.21185,-0.295769,5.29027,183.459,-2.69586,2.5944,1
166.341,46.9708,-0.189391,0.614646,4.07553,142.107,-3.0676,1.00793,1
187.085,86.3705,1.26633,-0.190607,-0.664482,241.454,-2.95383,-3.61831,1
149.766,32.1203,-1.32197,1.99389,4.34386,133.984,-2.89526,1.4486,1
267.899,29.0497,-1.0153,2.05193,1.34447,248.378,3.09532,4.43979,1
249.559,72.4471,-0.728752,1.61732,2.45293,194.691,-3.3906,-0.937676,1
309.183,53.4274,-0.0528891,-2.09684,-0.746414,345.604,3.24574,2.49933,1
137.416,61.3716,-0.736394,-0.00240599,4.67262,154.435,-2.73898,1.93364,1
150.144,125.683,1.42191,0.767456,1.62865,183.634,-3.92428,-2.29564,1
148.256,67.3881,0.224749,0.0884194,1.6211,159.702,-3.60037,-1.97927,1
179.761,34.4071,0.951055,3.67275,2.78763,131.857,-3.38042,-0.592793,1
185.275,119.246,-2.46794,-2.00331,0.71868,294.99,2.96941,3.68809,1
238.199,101.298,0.21204,1.35717,4.02998,193.665,-2.64644,1.38354,1
164.171,87.9747,0.800543,0.273523,0.808708,244.798,2.83109,3.6398,1
276.075,163.24,1.29791,-1.2505,4.39762,251.931,-2.477,1.92062,1
249.616,45.7004,-1.1673,-1.82781,4.6371,243.254,-2.89833,1.73877,1
190.466,77.3764,0.153937,1.34556,-4.82288,244.018,2.86835,-1.95453,1
221.896,92.4044,2.61982,-0.358741,4.09303,166.029,-2.68103,1.412,1
225.492,28.3473,-2.72684,-1.25504,2.03857,198.166,-3.19261,-1.15404,1
171.14,107.847,1.57464,-0.199831,-4.93541,230.737,2.63369,-2.30173,1
247.418,62.0956,0.502109,3.8068,-1.02491,277.917,3.30994,2.28503,1
325.991,41.0052,0.0193854,1.49321,-0.253112,351.756,3.18941,2.9363,1
415.509,30.6218,-0.2999,2.2823,0.631039,424.011,-3.14092,-2.50988,1
213.541,26.959,2.51648,3.46669,-0.288749,257.344,-3.0842,-3.37295,1
161.759,98.8517,-0.234552,-1.03039,1.95024,138.377,-3.75722,-1.80698,1
188.147,99.9877,-1.43172,0.882036,1.33376,247.674,-3.49208,-2.15832,1
187.296,40.486,-1.35161,1.92616,1.15515,205.311,2.9602,4.11535,1
208.538,34.5197,2.47715,1.83189,0.458065,234.311,-3.36313,-2.90507,1
322.554,188.361,1.19128,3.01357,-2.02781,302.861,3.74329,1.71548,1
196.362,60.1331,1.47659,0.553621,-3.535,174.612,3.10691,-0.428089,1
